Value,Month,Group
9.4,Apr,1
10.0,May,1
9.4,Jun,1
5.7,Jul,1
8.5,Aug,1
4.0,Sep,1
5.5,Oct,1
5.6,Nov,1
4.9,Dec,1
5.8,Jan,1
6.0,Feb,1
5.5,Mar,1
4.6,Apr,1
8.8,May,1
4.7,Jun,1
9.6,Jul,1
5.7,Aug,1
8.3,Sep,1
4.4,Oct,1
5.5,Nov,1
4.6,Dec,1
5.3,Jan,1
5.8,Feb,1
5.5,Mar,1
8.8,Apr,1
4.8,May,1
1.9,Jun,1
5.4,Jul,1
5.0,Aug,1
7.0,Sep,1
1.4,Oct,1
4.0,Nov,1
4.4,Dec,1
8.2,Jan,1
6.3,Feb,1
7.5,Mar,1
10.8,Apr,1
4.4,May,1
3.5,Jun,1
5.0,Jul,1
3.1,Aug,1
2.8,Sep,1
4.1,Oct,1
3.0,Nov,1
3.5,Dec,1
9.2,Jan,1
9.4,Feb,1
8.6,Mar,1
6.2,Apr,1
4.6,May,1
5.0,Jun,1
3.8,Jul,1
3.1,Aug,1
4.3,Sep,1
3.7,Oct,1
3.5,Nov,1
6.9,Dec,1
6.1,Jan,1
10.5,Feb,1
10.8,Mar,1
7.0,Apr,1
5.2,May,1
4.7,Jun,1
4.1,Jul,1
4.2,Aug,1
6.5,Sep,1
5.6,Oct,1
2.0,Nov,1
5.0,Dec,1 
3.2,Jan,2
4.8,Feb,2
6.2,Mar,2
8.1,Apr,2
7.5,May,2
4.8,Jun,2
5.4,Jul,2
4.8,Aug,2
2.1,Sep,2
2.3,Oct,2
3.2,Nov,2
3.3,Dec,2 
7.2,Jan,2
8.1,Feb,2
7.6,Mar,2
13.0,Apr,2
3.5,May,2
7.6,Jun,2
3.5,Jul,2
3.2,Aug,2
3.7,Sep,2
1.7,Oct,2
2.8,Nov,2
4.6,Dec,2
9.3,Jan,2
6.8,Feb,2
8.2,Mar,2
7.4,Apr,2
5.5,May,2
4.4,Jun,2
9.4,Jul,2
3.9,Aug,2
3.0,Sep,2
1.7,Oct,2
1.8,Nov,2
3.0,Dec,2
2.8,Jan,2
6.6,Feb,2
4.0,Mar,2
6.1,Apr,2
3.6,May,2
2.5,Jun,2
2.7,Jul,2
2.8,Aug,2
1.3,Sep,2
1.8,Oct,2
1.2,Nov,2
2.0,Dec,2
3.2,Jan,3
4.7,Feb,3
3.3,Mar,3
4.2,Jun,3
3.1,Jul,3
3.0,Aug,3
1.4,Sep,3
1.2,Oct,3
0.9,Nov,3
2.0,Dec,3
2.1,Jan,3
2.4,Feb,3
4.3,Mar,3
3.2,Apr,3
3.1,May,3
3.3,Jun,3
4.6,Jul,3
2.6,Aug,3
1.5,Sep,3
2.1,Oct,3
1.2,Nov,3
1.9,Dec,3 
3.3,Jan,3
3.3,Feb,3
5.1,Mar,3
8.5,Apr,3
5.6,May,3
2.9,Jul,3
3.3,Aug,3
1.7,Sep,3
1.3,Oct,3
1.4,Nov,3
1.8,Dec,3
1.9,Jan,3
4.2,Feb,3
8.3,Mar,3
6.3,Apr,3
3.2,May,3
3.2,Jun,3
6.9,Jul,3
6.2,Aug,3
2.5,Sep,3
1.9,Oct,3
1.7,Nov,3
5.8,Dec,3
3.4,Jan,3
5.5,Feb,3
6.1,Mar,3
