Value,Month,Group
5.7,Apr,1
6.7,May,1
5.3,Jun,1
2.1,Jul,1
5.3,Aug,1
6.9,Sep,1
6.2,Oct,1
7.1,Nov,1
4.5,Dec,1
7.1,Jan,1
6.7,Feb,1
6.9,Mar,1
4.9,Apr,1
3.1,May,1
5.1,Jun,1
3.6,Jul,1
4.9,Aug,1
8.5,Sep,1
6.3,Oct,1
9.0,Nov,1
5.6,Dec,1
5.2,Jan,1
5.3,Feb,1
6.8,Mar,1
6.8,Apr,1
5.9,May,1
3.7,Jun,1
4.5,Jul,1
5.4,Aug,1
5.9,Sep,1
6.8,Oct,1
7.0,Nov,1
7.5,Dec,1
5.5,Jan,1
7.5,Feb,1
6.6,Mar,1
3.5,Apr,1
4.7,May,1
5.7,Jun,1
5.3,Jul,1
5.2,Aug,1
6.4,Sep,1
6.9,Oct,1
7.3,Nov,1
6.2,Dec,1
6.7,Jan,1
5.1,Feb,1
5.1,Mar,1
4.7,Apr,1
2.8,May,1
3.8,Jun,1
4.5,Jul,1
5.9,Aug,1
6.6,Sep,1
9.3,Oct,1
7.9,Nov,1
6.9,Dec,1
7.7,Jan,1
8.3,Feb,1
5.8,Mar,1
7.3,Apr,1
6.6,May,1
6.3,Jun,1
5.3,Jul,1
7.1,Aug,1
7.0,Sep,1
6.3,Oct,1
7.1,Nov,1
6.9,Dec,1
7.8,Jan,2
8.2,Feb,2
9.0,Mar,2
9.6,Apr,2
4.6,May,2
8.4,Jun,2
6.3,Jul,2
4.4,Aug,2
6.9,Sep,2
7.0,Oct,2
6.8,Nov,2
6.3,Dec,2
7.1,Jan,2
7.4,Feb,2
7.2,Mar,2
3.5,Apr,2
7.7,May,2
4.9,Jun,2
5.8,Jul,2
9.1,Aug,2
5.9,Sep,2
7.3,Oct,2
8.2,Nov,2
9.1,Dec,2
8.7,Jan,2
11.9,Feb,2
12.5,Mar,2
11.6,Apr,2
13.6,May,2
10.2,Jun,2
7.5,Jul,2
6.3,Aug,2
7.1,Sep,2
7.1,Oct,2
7.7,Nov,2
7.7,Dec,2 
10.5,Jan,2
10.3,Feb,2
11.3,Mar,2
6.1,Apr,2
9.2,May,2
8.8,Jun,2
7.3,Jul,2
7.8,Aug,2
6.9,Sep,2
8.8,Oct,2
9.4,Nov,2
8.3,Dec,2
8.8,Jan,3
9.0,Feb,3
9.6,Mar,3
4.0,Jun,3
5.1,Jul,3
7.2,Aug,3
7.0,Sep,3
7.9,Oct,3
7.8,Nov,3
7.7,Dec,3
9.3,Jan,3
9.2,Feb,3
10.1,Mar,3
10.0,Apr,3
6.6,May,3
4.1,Jun,3
6.2,Jul,3
4.2,Aug,3
8.0,Sep,3
7.5,Oct,3
9.1,Nov,3
7.3,Dec,3
8.0,Jan,3
10.3,Feb,3
9.4,Mar,3
9.9,Apr,3
8.1,May,3
4.3,Jul,3
4.6,Aug,3
5.3,Sep,3
8.0,Oct,3
7.6,Nov,3
7.9,Dec,3
8.6,Jan,3
9.8,Feb,3
8.6,Mar,3
5.6,Apr,3
8.5,May,3
5.5,Jun,3
4.1,Jul,3
4.1,Aug,3
4.9,Sep,3
6.5,Oct,3
7.0,Nov,3
5.0,Dec,3
8.1,Jan,3
7.6,Feb,3
6.7,Mar,3
