Value,Month,Group
10.00,Apr,1
11.70,May,1
10.70,Jun,1
10.20,Jul,1
3.80,Aug,1
1.70,Sep,1
2.40,Oct,1
3.20,Nov,1
17.10,Dec,1
7.40,Jan,1
11.40,Feb,1
7.00,Mar,1
14.83,Apr,1
4.79,Aug,1
7.59,Sep,1
1.27,Oct,1
1.95,Nov,1
5.89,Dec,1 
5.92,Jan,1
10.06,Feb,1
4.20,Mar,1
3.08,Apr,1
16.47,May,1
16.60,Jun,1
8.00,Jul,1
3.15,Aug,1
2.00,Sep,1
2.63,Oct,1
1.49,Nov,1
2.69,Dec,1
6.73,Jan,1
5.89,Feb,1
7.79,Mar,1
9.05,Apr,1
9.47,May,1
3.46,Jun,1
2.17,Jul,1
0.87,Aug,1
0.60,Sep,1
1.06,Oct,1
1.31,Nov,1
3.74,Dec,1
8.12,Jan,1
7.26,Feb,1
9.17,Mar,1
7.11,Apr,1
6.66,May,1
4.34,Jun,1
4.99,Jul,1
8.32,Aug,1
2.39,Sep,1
4.73,Oct,1
2.18,Nov,1
9.18,Dec,1
4.19,Jan,1
2.27,Feb,1
9.79,Mar,1
4.77,Apr,1
6.23,May,1
5.05,Jun,1
2.02,Jul,1
4.27,Aug,1
4.06,Sep,1
4.40,Oct,1
2.72,Nov,1
8.58,Dec,1
24.60,Jan,2
8.09,Feb,2
5.91,Mar,2
12.04,Apr,2
6.58,May,2
5.86,Jun,2
7.31,Jul,2
4.88,Aug,2
0.47,Sep,2
1.03,Oct,2
0.77,Nov,2
2.48,Dec,2
7.18,Jan,2
7.49,Feb,2
9.78,Mar,2
6.35,Apr,2
8.08,May,2
2.72,Jun,2
1.22,Jul,2
0.61,Aug,2
0.57,Sep,2
0.80,Oct,2
0.88,Nov,2
3.46,Dec,2
6.19,Jan,2
4.02,Feb,2
6.49,Mar,2
6.59,Apr,2
4.53,May,2
3.06,Jun,2
2.66,Jul,2
0.66,Aug,2
0.44,Sep,2
0.36,Oct,2
0.30,Nov,2
1.31,Dec,2
1.02,Jan,2
2.45,Feb,2
2.61,Mar,2
1.65,Apr,2
1.28,May,2
0.36,Jun,2
0.45,Jul,2
0.33,Aug,2
0.29,Sep,2
0.19,Oct,2
0.19,Nov,2
0.42,Dec,2
3.78,Jan,3
1.88,Feb,3
1.50,Mar,3
1.17,Jun,3	
0.74,Jul,3
0.37,Aug,3
0.17,Sep,3
0.16,Oct,3
0.29,Nov,3
0.43,Dec,3
2.07,Jan,3
2.46,Feb,3
4.58,Mar,3
3.62,Apr,3
2.23,May,3
1.68,Jun,3
0.81,Jul,3
0.37,Aug,3
0.19,Sep,3
0.39,Oct,3
0.29,Nov,3
1.09,Dec,3
4.31,Jan,3
2.73,Feb,3
4.67,Mar,3
2.09,Apr,3
2.74,May,3
0.54,Jul,3	
0.43,Aug,3
0.15,Sep,3
0.14,Oct,3
0.20,Nov,3
0.37,Dec,3
0.97,Jan,3
4.11,Feb,3
2.19,Mar,3
3.11,Apr,3
2.70,May,3
2.00,Jun,3
1.80,Jul,3
0.37,Aug,3
0.12,Sep,3
0.19,Oct,3
0.10,Nov,3
0.83,Dec,3
2.30,Jan,3
2.70,Feb,3
1.40,Mar,3 
