Value,Month,Group
8.50,Apr,1
11.20,Mar,1
6.70,Jun,1
7.70,Jul,1
9.70,Aug,1
11.90,Sep,1
12.20,Oct,1
13.40,Nov,1
15.70,Dec,1
9.00,Jan,1
10.80,Feb,1
8.00,Mar,1
9.90,Apr,1
4.60,May,1
14.70,Jun,1
13.40,Jul,1
10.60,Aug,1
10.30,Sep,1
12.10,Oct,1
11.30,Nov,1
14.30,Dec,1
10.40,Jan,1
9.40,Feb,1
6.90,Mar,1
5.20,Apr,1
8.60,May,1
11.70,Jun,1
8.30,Jul,1
8.40,Aug,1
10.00,Sep,1
13.60,Oct,1
12.70,Nov,1
12.70,Dec,1
10.10,Jan,1
10.20,Feb,1
10.00,Mar,1
8.30,Apr,1
12.10,May,1
9.50,Jun,1
11.40,Jul,1
10.30,Aug,1
11.30,Sep,1
12.40,Oct,1
11.80,Nov,1
11.70,Dec,1
11.60,Jan,1
10.30,Feb,1
6.70,Mar,1
6.30,Apr,1
7.20,May,1
7.80,Jun,1
11.60,Jul,1
19.60,Aug,1
12.20,Sep,1
18.00,Oct,1
12.20,Nov,1
20.30,Dec,1
10.20,Jan,1
12.90,Feb,1
11.50,Mar,1
12.48,Apr,1
10.70,May,1
11.60,Jun,1
9.30,Jul,1
14.40,Aug,1
14.20,Sep,1
17.30,Oct,1
14.30,Nov,1
19.70,Dec,1
10.90,Jan,2
10.40,Feb,2
9.70,Mar,2
9.95,Apr,2
6.31,May,2
9.48,Jun,2
10.89,Jul,2
14.46,Aug,2
10.37,Sep,2
11.50,Oct,2
12.23,Nov,2
11.84,Dec,2
7.48,Jan,2
5.77,Feb,2
4.46,Mar,2
3.32,Apr,2
5.63,May,2
5.78,Jun,2
7.88,Jul,2
8.14,Aug,2
8.41,Sep,2
9.41,Oct,2
9.05,Nov,2
8.40,Dec,2
6.48,Jan,2
6.61,Feb,2
4.74,Mar,2
4.87,Apr,2
4.35,May,2
4.17,Jun,2
5.62,Jul,2
7.97,Aug,2
7.86,Sep,2
8.37,Oct,2
8.20,Nov,2
8.59,Dec,2
8.19,Jan,2
7.17,Feb,2
7.20,Mar,2
4.55,Apr,2
4.38,May,2
7.20,Jun,2
7.24,Jul,2
7.44,Aug,2
8.47,Sep,2
8.81,Oct,2
9.33,Nov,2
9.23,Dec,2
8.32,Jan,3
5.75,Feb,3
6.19,Mar,3
5.27,Jun,3	
6.83,Jul,3
8.64,Aug,3
8.82,Sep,3
9.86,Oct,3
10.49,Nov,3
9.74,Dec,3
8.98,Jan,3
7.59,Feb,3
6.74,Mar,3
4.92,Apr,3
2.78,May,3
5.78,Jun,3
6.83,Jul,3
6.96,Aug,3
8.75,Sep,3
9.12,Oct,3
10.15,Nov,3
10.64,Dec,3
6.31,Jan,3
7.31,Feb,3
4.68,Mar,3
5.36,Apr,3
2.72,May,3
6.75,Jul,3	
8.15,Aug,3
8.09,Sep,3
8.44,Oct,3
8.75,Nov,3
8.50,Dec,3
8.95,Jan,3
7.16,Feb,3
6.54,Mar,3
2.97,Apr,3
3.90,May,3
1.29,Jun,3
4.40,Jul,3
7.30,Aug,3
7.68,Sep,3
7.80,Oct,3
8.30,Nov,3
7.32,Dec,3
6.90,Jan,3
6.50,Feb,3
5.33,Mar,3 
