Value,Month,Group
9.0,Apr,1
9.0,May,1
3.0,Jun,1
4.0,Jul,1
7.0,Aug,1
18.0,Sep,1
21.0,Oct,1
9.0,Nov,1
7.0,Dec,1
7.0,Jan,1
5.0,Feb,1
5.0,Mar,1
19.0,Apr,1
6.0,May,1
4.0,Jun,1
8.0,Jul,1
14.0,Aug,1
59.0,Sep,1
17.0,Oct,1
15.0,Nov,1
14.0,Dec,1
13.0,Jan,1
12.0,Feb,1
15.0,Mar,1
45.0,Apr,1
9.0,May,1
5.0,Jun,1
20.0,Jul,1
13.0,Aug,1
21.0,Sep,1
15.0,Oct,1
15.0,Nov,1
10.0,Dec,1
9.0,Jan,1
8.0,Feb,1
10.0,Mar,1
13.0,Apr,1
6.0,May,1
10.0,Jun,1
14.0,Jul,1
17.0,Aug,1
22.0,Sep,1
14.0,Oct,1
9.0,Nov,1
6.0,Dec,1
5.0,Jan,1
12.0,Feb,1
13.0,Mar,1
17.0,Apr,1
14.0,May,1
48.0,Jun,1
50.0,Jul,1
37.0,Aug,1
36.0,Sep,1
15.0,Oct,1
14.0,Nov,1
39.0,Dec,1
17.0,Jan,1
16.0,Feb,1
8.0,Mar,1
15.6,Apr,1
10.7,May,1
4.9,Jun,1
27.7,Jul,1
31.7,Aug,1
30.8,Sep,1
20.0,Oct,1
4.9,Nov,1
7.3,Dec,1
6.4,Jan,2
6.2,Feb,2
13.0,Mar,2
14.8,Apr,2
11.2,May,2
7.9,Jun,2
14.6,Jul,2
31.2,Aug,2
18.3,Sep,2
11.6,Oct,2
8.8,Nov,2
5.1,Dec,2
9.3,Jan,2
11.0,Feb,2
15.2,Mar,2
60.0,Apr,2
10.0,May,2
34.7,Jun,2
20.4,Jul,2
20.0,Aug,2
24.9,Sep,2
12.9,Oct,2
8.2,Nov,2
7.8,Dec,2
7.2,Jan,2
5.4,Feb,2
8.3,Mar,2
8.0,Apr,2
7.0,May,2
5.0,Jun,2
32.0,Jul,2
27.0,Aug,2
19.0,Sep,2
14.0,Oct,2
8.0,Nov,2
5.2,Dec,2
4.0,Jan,2
6.0,Feb,2
4.0,Mar,2
25.0,Apr,2
5.7,May,2
18.9,Jun,2
21.8,Jul,2
25.3,Aug,2
58.6,Sep,2
11.2,Oct,2
5.6,Nov,2
2.8,Dec,2
3.9,Jan,3
9.8,Feb,3
5.3,Mar,3
37.0,Jun,3
21.0,Jul,3
23.7,Aug,3
15.5,Sep,3
12.3,Oct,3
5.2,Nov,3
2.8,Dec,3
2.2,Jan,3
3.1,Feb,3
8.2,Mar,3
4.7,Apr,3
12.6,May,3
12.2,Jun,3
29.1,Jul,3
23.4,Aug,3
24.2,Sep,3
13.7,Oct,3
4.3,Nov,3
2.8,Dec,3
2.0,Jan,3
12.7,Feb,3
9.6,Mar,3
9.6,Apr,3
8.0,May,3
22.3,Jul,3
28.8,Aug,3
13.1,Sep,3
8.1,Oct,3
10.9,Nov,3
3.8,Dec,3
2.3,Jan,3
5.2,Feb,3
8.4,Mar,3
5.0,Apr,3
4.0,May,3
28.0,Jun,3
15.0,Jul,3
27.0,Aug,3
17.0,Sep,3
20.0,Oct,3
8.0,Nov,3
18.0,Dec,3
4.0,Jan,3
5.0,Feb,3
11.0,Mar,3 
